Name,Short Description,Category,Status,Priority,Human Motivators,Created Date
[Arquitetos III] Progressão de níveis,Progressão do usuário no direção do arquétipo,Gaming,Q2 Prioritized,Accomplishment,Self efficacy,February 19 2025
[Gaming] Revisão de Onboarding,Primeiros dias de uso do app conhecimento com a vida do Jornada do Usuário,Gaming,Q2 Prioritized,Epic meaning,February 19 2025
[Arquitetos III] Evolução de Avatar,Visualização mais fácil e mediada do nível do arquétipo através da imagem pública da pessoa,Gaming,Q2 Prioritized,Ownership,April 6 2025
[Gamificação] Identificação com Persona,Identifica o usuário como uma das personas do app através de imagem,Gaming,Q2 Prioritized,Accomplishment,April 6 2025
[Especifica Social] Banking,Comparação entre diferentes pessoas como motivador para a mudança comportamental,Social,Q2 Prioritized,Accomplishment,April 6 2025
[Especifica Social] Conhecimento/Feed InApp,Comportamento de conhecimento por especialistas,Social,Q2 Prioritized,Social influence,April 6 2025
[Oracle] Conhecimento Partner,Otimização de aprendizado para a especialidade e para a pessoa através do parceiro,Oracle,Q2 Prioritized,Accomplishment,April 6 2025
[Dopamina] Bloqueio de apps,Destravat tempo de tela do usuário para aplicar em algo construtivo/positivo no dia,Dopamina,Backlog,Accomplishment,April 6 2025
[Oracle] Presença de Personagem,Quem é o Oracle? Onde quando e por que ele aparece?,Oracle,Q2 Prioritized,Epic meaning,April 6 2025
[Gaming] Evolução streak,Trata da pessoal tendência de não comprometimento e não constância,Gaming,Q2 Prioritized,Accomplishment,April 6 2025
[Gaming] Gasto de Moedas,Testar formas de gastar moedas acumuladas,Gaming,Q2 Prioritized,Ownership,April 6 2025
[Gaming] Supertask Knowledge,Levar peças de conhecimento para os usuários,Gaming,Q2 Prioritized,Unpredictability,April 6 2025
[Gaming] Evolução de Hábito,Criar componente muito potente que EFF força a sincronizar,Gaming,Q3 Prioritized,Epic meaning,April 6 2025
[Hábitos] Evolução do Catálogo,Hábitos EEF engajadores,Hábitos,Q2 Prioritized,Accomplishment,April 6 2025
[Oracle] Hábitos in app,Hábitos in app,Oracle,Q3 Prioritized,Accomplishment,May 29 2025
[Oracle] Comunicação Personalizada,Comunicação personalizada em diferentes canais,Oracle,Q3 Prioritized,Self efficacy,July 28 2025
[Oracle] Recomendação Personalizada,Recomendações inteligentes e personalizadas,Oracle,Q3 Prioritized,Self efficacy,July 28 2025
[Oracle] Conhecimentos,Conhecer conhecimentos que apoiem a jornada,Oracle,Q3 Prioritized,Accomplishment,July 28 2025
[Jogo] Quests,Insert "quests" na forma que faça sentido dentro da jornada,Gaming,Q3 Prioritized,Accomplishment,July 28 2025
[Jogo] Barreiras,Encontrar uma forma de ajudar as pessoas a lidar contra suas barreiras,Gaming,Q3 Prioritized,Social influence,July 29 2025
[Jogo] Progresso Visual,Reforçar progresso diário visualmente,Gaming,Q3 Prioritized,Scarcity,July 29 2025
[Social] Desafios Coletivos,Desafios coletivos com cooperação e/ou competição,Social,Q3 Prioritized,Competition,July 29 2025
[Social] Ambientes Coletivos,Oferecer um ambiente propício para mudança,Social,Q3 Prioritized,Accomplishment,July 29 2025
[Social] Cold Start,Estimular a conexão entre as pessoas no início da jornada,Social,Q3 Prioritized,Reciprocity,July 29 2025
[Social] Socially Native,Reforçar conexão social dentro do que já existe na app,Social,Q3 Prioritized,Social,July 29 2025 
